passport,name,surname,flight_number,flight_date,airplane_license,airplane_model,airline_name,departure_airport,dep_city,dep_country,arrival_airport,arr_city,arr_country,baggage_belt,seat_number,flight_crew_license,flight_crew_role,flight_status_date,flight_status_hour,flight_status
ZD7672544,Jessica,Fisher,UA284,2025-06-20,APL1000,Model-0,UA,LAX,Los Angeles,USA,MAD,Madrid,Spain,1,28F,FWL8728,Flight Attendant,2025-06-20,12:30:55,departed
LS4614936,George,Smith,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,3D,FWL5593,First Officer,2025-07-28,08:39:57,delayed
LX4068330,Eric,Dominguez,AA369,2025-07-05,APL1007,Model-2,AA,SIN,Singapore,Singapore,HND,Tokyo,Japan,3,6C,FWL2584,Captain,2025-07-05,04:19:10,delayed
PZ6082691,Amanda,Beck,AA979,2025-07-23,APL1000,Model-0,AA,FRA,Frankfurt,Germany,JFK,New York,USA,3,15C,FWL1579,Flight Attendant,2025-07-23,07:46:46,delayed
OX2089341,Shawna,Elliott,DL382,2025-07-19,APL1006,Model-1,DL,CDG,Paris,France,MAD,Madrid,Spain,1,25B,FWL7484,First Officer,2025-07-19,16:30:11,deviated
RB6780044,Danielle,Brown,DL382,2025-07-19,APL1006,Model-1,DL,CDG,Paris,France,MAD,Madrid,Spain,1,6D,FWL7484,First Officer,2025-07-19,16:30:11,deviated
VT6210248,Richard,Johnson,DL342,2025-08-08,APL1004,Model-4,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,6,20D,FWL8417,First Officer,2025-08-08,18:18:12,deviated
TW0210570,Keith,Robinson,BA100,2025-07-06,APL1005,Model-0,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,6,14D,FWL1975,Captain,2025-07-06,05:03:57,delayed
HF7339721,Jason,Wilkinson,AA979,2025-07-23,APL1000,Model-0,AA,FRA,Frankfurt,Germany,JFK,New York,USA,3,2E,FWL1579,Flight Attendant,2025-07-23,07:46:46,delayed
XQ3457027,Lori,Duarte,AF701,2025-07-16,APL1008,Model-3,AF,DXB,Dubai,UAE,LHR,London,UK,10,24A,FWL2641,Captain,2025-07-16,20:25:19,arrived
IC6364630,Christopher,Malone,DL382,2025-07-19,APL1006,Model-1,DL,CDG,Paris,France,MAD,Madrid,Spain,1,27E,FWL7484,First Officer,2025-07-19,16:30:11,deviated
DL2208961,Amber,Ford,BA329,2025-08-03,APL1005,Model-0,BA,FRA,Frankfurt,Germany,DXB,Dubai,UAE,10,22A,FWL7108,Captain,2025-08-03,18:11:29,delayed
CB1662644,Marvin,Ware,AA696,2025-07-03,APL1009,Model-4,AA,HND,Tokyo,Japan,LHR,London,UK,8,23C,FWL3110,Captain,2025-07-03,15:32:49,departed
IB5817466,David,Goodwin,DL342,2025-08-08,APL1004,Model-4,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,6,4D,FWL8417,First Officer,2025-08-08,18:18:12,deviated
CT6360963,Kim,Carter,AF662,2025-08-01,APL1007,Model-2,AF,CDG,Paris,France,JFK,New York,USA,5,10B,FWL8869,Captain,2025-08-01,16:03:49,departed
VP1138788,Kathryn,Petersen,AF789,2025-06-29,APL1000,Model-0,AF,CDG,Paris,France,FRA,Frankfurt,Germany,8,10C,FWL5625,First Officer,2025-06-29,17:29:58,departed
BA8967482,Emily,Martin,AF701,2025-07-16,APL1008,Model-3,AF,DXB,Dubai,UAE,LHR,London,UK,10,22D,FWL2641,Captain,2025-07-16,20:25:19,arrived
IS2211157,Tina,Martinez,UA885,2025-06-18,APL1009,Model-4,UA,FRA,Frankfurt,Germany,CDG,Paris,France,5,16C,FWL9743,Flight Attendant,2025-06-18,16:05:14,arrived
NO7108629,David,Lawrence,BA223,2025-08-12,APL1008,Model-3,BA,LAX,Los Angeles,USA,FRA,Frankfurt,Germany,2,26A,FWL2481,Captain,2025-08-12,15:07:56,delayed
BU8549044,Stephanie,Parrish,AA696,2025-07-03,APL1009,Model-4,AA,HND,Tokyo,Japan,LHR,London,UK,8,24B,FWL3110,Captain,2025-07-03,15:32:49,departed
YH4081467,Martin,Thomas,AF701,2025-07-16,APL1008,Model-3,AF,DXB,Dubai,UAE,LHR,London,UK,10,2E,FWL2641,Captain,2025-07-16,20:25:19,arrived
TZ4025555,Derek,Valdez,BA223,2025-08-12,APL1008,Model-3,BA,LAX,Los Angeles,USA,FRA,Frankfurt,Germany,2,8C,FWL2481,Captain,2025-08-12,15:07:56,delayed
CL4476904,Danny,Fisher,DL602,2025-08-09,APL1000,Model-0,DL,LHR,London,UK,JFK,New York,USA,4,29F,FWL1326,Flight Attendant,2025-08-09,03:29:32,canceled
TE3758808,Dawn,Lopez,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,18E,FWL5593,First Officer,2025-07-28,08:39:57,delayed
PO7055819,Tiffany,Rivers,AA126,2025-06-24,APL1003,Model-3,AA,CDG,Paris,France,HND,Tokyo,Japan,5,4F,FWL7512,First Officer,2025-06-24,02:39:58,on time
QA3506140,Timothy,Singh,UA927,2025-07-11,APL1008,Model-3,UA,DXB,Dubai,UAE,MAD,Madrid,Spain,1,2A,FWL7342,Flight Attendant,2025-07-11,07:58:55,canceled
EP7189103,Tom,Brown,DL700,2025-06-22,APL1002,Model-2,DL,LHR,London,UK,AMS,Amsterdam,Netherlands,7,15D,FWL2655,First Officer,2025-06-22,12:40:49,departed
TZ2854472,Kristen,Griffith,AF594,2025-08-11,APL1000,Model-0,AF,DXB,Dubai,UAE,CDG,Paris,France,2,9D,FWL6424,Captain,2025-08-11,01:12:26,on time
OH1669540,Benjamin,Le,BA204,2025-07-07,APL1002,Model-2,BA,LHR,London,UK,JFK,New York,USA,7,23F,FWL7098,Flight Attendant,2025-07-07,05:27:30,arrived
BF2021263,Latoya,Benson,BA900,2025-08-15,APL1005,Model-0,BA,SIN,Singapore,Singapore,AMS,Amsterdam,Netherlands,9,14F,FWL6269,First Officer,2025-08-15,15:56:19,delayed
OD2670454,Heather,Potter,BA648,2025-06-30,APL1007,Model-2,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,1,17C,FWL9226,Flight Attendant,2025-06-30,20:58:05,delayed
FE0529561,Danielle,Stewart,DL700,2025-06-22,APL1002,Model-2,DL,LHR,London,UK,AMS,Amsterdam,Netherlands,7,4E,FWL2655,First Officer,2025-06-22,12:40:49,departed
RY3706617,Justin,Lee,UA492,2025-06-19,APL1002,Model-2,UA,DXB,Dubai,UAE,FRA,Frankfurt,Germany,4,4A,FWL9907,Captain,2025-06-19,18:44:34,canceled
MS4268744,Duane,Cardenas,AA793,2025-07-20,APL1004,Model-4,AA,HND,Tokyo,Japan,CDG,Paris,France,9,20B,FWL5093,Captain,2025-07-20,08:31:34,on time
NX3788211,Michelle,Clark,AF766,2025-07-14,APL1003,Model-3,AF,CDG,Paris,France,SIN,Singapore,Singapore,6,13C,FWL5278,Captain,2025-07-14,05:31:11,departed
XH6211764,Justin,Hampton,UA492,2025-06-19,APL1002,Model-2,UA,DXB,Dubai,UAE,FRA,Frankfurt,Germany,4,6A,FWL9907,Captain,2025-06-19,18:44:34,canceled
FL2283554,Daniel,Cline,UA314,2025-07-21,APL1003,Model-3,UA,LHR,London,UK,LAX,Los Angeles,USA,1,14F,FWL7323,First Officer,2025-07-21,18:45:49,departed
IC0332114,Morgan,Camacho,UA885,2025-06-18,APL1009,Model-4,UA,FRA,Frankfurt,Germany,CDG,Paris,France,5,8A,FWL9743,Flight Attendant,2025-06-18,16:05:14,arrived
JZ6568720,John,King,BA648,2025-06-30,APL1007,Model-2,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,1,3A,FWL9226,Flight Attendant,2025-06-30,20:58:05,delayed
UN6547056,Joshua,Klein,BA648,2025-06-30,APL1007,Model-2,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,1,16B,FWL9226,Flight Attendant,2025-06-30,20:58:05,delayed
BK6164260,Tina,Allen,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,17A,FWL5593,First Officer,2025-07-28,08:39:57,delayed
OD2670454,Heather,Potter,AA491,2025-06-29,APL1006,Model-1,AA,CDG,Paris,France,LAX,Los Angeles,USA,8,21B,FWL3435,Captain,2025-06-29,02:06:45,arrived
BA8967482,Emily,Martin,UA492,2025-06-19,APL1002,Model-2,UA,DXB,Dubai,UAE,FRA,Frankfurt,Germany,4,9D,FWL9907,Captain,2025-06-19,18:44:34,canceled
CE5621825,Cassidy,Shaw,DL529,2025-07-22,APL1007,Model-2,DL,JFK,New York,USA,CDG,Paris,France,9,6A,FWL7767,Flight Attendant,2025-07-22,06:08:59,departed
HT4538483,Kyle,Houston,UA705,2025-06-24,APL1000,Model-0,UA,LAX,Los Angeles,USA,MAD,Madrid,Spain,8,26F,FWL9882,First Officer,2025-06-24,06:38:47,arrived
VB7420109,James,Johnson,UA430,2025-07-29,APL1002,Model-2,UA,CDG,Paris,France,DXB,Dubai,UAE,3,24A,FWL6846,Captain,2025-07-29,14:50:41,on time
WL8695986,Caitlin,Wilkerson,DL382,2025-07-19,APL1006,Model-1,DL,CDG,Paris,France,MAD,Madrid,Spain,1,2A,FWL7484,First Officer,2025-07-19,16:30:11,deviated
FE0529561,Danielle,Stewart,BA648,2025-06-30,APL1007,Model-2,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,1,21B,FWL9226,Flight Attendant,2025-06-30,20:58:05,delayed
NK6217435,John,Hansen,AA882,2025-08-01,APL1003,Model-3,AA,MAD,Madrid,Spain,DXB,Dubai,UAE,10,29E,FWL6210,Flight Attendant,2025-08-01,08:31:03,arrived
HH0534080,Ruben,Waters,AF701,2025-07-16,APL1008,Model-3,AF,DXB,Dubai,UAE,LHR,London,UK,10,6C,FWL2641,Captain,2025-07-16,20:25:19,arrived
LX0111373,Richard,Conley,UA946,2025-07-24,APL1009,Model-4,UA,JFK,New York,USA,FRA,Frankfurt,Germany,6,4D,FWL7492,Flight Attendant,2025-07-24,03:34:54,arrived
ZO4984111,Mary,Conley,AA286,2025-07-26,APL1009,Model-4,AA,LAX,Los Angeles,USA,MAD,Madrid,Spain,8,9D,FWL3304,First Officer,2025-07-26,13:54:07,deviated
AH9439466,Rhonda,Nelson,DL700,2025-06-22,APL1002,Model-2,DL,LHR,London,UK,AMS,Amsterdam,Netherlands,7,21B,FWL2655,First Officer,2025-06-22,12:40:49,departed
AO9367679,Levi,Fisher,DL342,2025-08-08,APL1004,Model-4,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,6,23F,FWL8417,First Officer,2025-08-08,18:18:12,deviated
DC5267262,Brittany,Brooks,BA223,2025-08-12,APL1008,Model-3,BA,LAX,Los Angeles,USA,FRA,Frankfurt,Germany,2,7D,FWL2481,Captain,2025-08-12,15:07:56,delayed
OK0305332,David,Rush,DL519,2025-07-18,APL1008,Model-3,DL,AMS,Amsterdam,Netherlands,HND,Tokyo,Japan,2,29B,FWL1813,First Officer,2025-07-18,17:08:45,delayed
RN3193377,Candace,Green,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,12E,FWL5593,First Officer,2025-07-28,08:39:57,delayed
BW9040771,Daniel,Salazar,AF919,2025-08-13,APL1009,Model-4,AF,MAD,Madrid,Spain,CDG,Paris,France,4,24B,FWL4157,Captain,2025-08-13,22:02:00,on time
OK0305332,David,Rush,UA314,2025-07-21,APL1003,Model-3,UA,LHR,London,UK,LAX,Los Angeles,USA,1,8D,FWL7323,First Officer,2025-07-21,18:45:49,departed
GF6980712,James,Campbell,AF789,2025-06-29,APL1000,Model-0,AF,CDG,Paris,France,FRA,Frankfurt,Germany,8,3C,FWL5625,First Officer,2025-06-29,17:29:58,departed
VB7420109,James,Johnson,AA979,2025-07-23,APL1000,Model-0,AA,FRA,Frankfurt,Germany,JFK,New York,USA,3,23F,FWL1579,Flight Attendant,2025-07-23,07:46:46,delayed
QZ5413403,Shirley,Carter,DL150,2025-07-28,APL1007,Model-2,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,5,24E,FWL5593,First Officer,2025-07-28,08:39:57,delayed
OP6768635,Cindy,Dunn,AA696,2025-07-03,APL1009,Model-4,AA,HND,Tokyo,Japan,LHR,London,UK,8,22C,FWL3110,Captain,2025-07-03,15:32:49,departed
GW5656538,Alexandria,Johnson,AF766,2025-07-14,APL1003,Model-3,AF,CDG,Paris,France,SIN,Singapore,Singapore,6,7D,FWL5278,Captain,2025-07-14,05:31:11,departed
CB1662644,Marvin,Ware,AA343,2025-07-27,APL1005,Model-0,AA,LAX,Los Angeles,USA,CDG,Paris,France,6,12F,FWL8317,Captain,2025-07-27,05:41:01,departed
RJ9898227,Gregory,Hawkins,DL176,2025-07-16,APL1003,Model-3,DL,CDG,Paris,France,MAD,Madrid,Spain,8,4A,FWL8635,First Officer,2025-07-16,17:34:54,arrived
ZR2074691,Laura,Stone,BA270,2025-07-05,APL1006,Model-1,BA,SIN,Singapore,Singapore,DXB,Dubai,UAE,7,16D,FWL2661,First Officer,2025-07-05,09:56:15,canceled
QT2594619,Rebecca,Morales,UA705,2025-08-13,APL1007,Model-2,UA,FRA,Frankfurt,Germany,AMS,Amsterdam,Netherlands,1,25D,FWL4817,Flight Attendant,2025-08-13,01:25:57,arrived
IC6364630,Christopher,Malone,UA225,2025-06-21,APL1000,Model-0,UA,SIN,Singapore,Singapore,JFK,New York,USA,7,11C,FWL7471,First Officer,2025-06-21,04:23:06,canceled
CE5621825,Cassidy,Shaw,BA270,2025-07-05,APL1006,Model-1,BA,SIN,Singapore,Singapore,DXB,Dubai,UAE,7,8E,FWL2661,First Officer,2025-07-05,09:56:15,canceled
KU9870123,Tonya,Daugherty,BA100,2025-07-06,APL1005,Model-0,BA,MAD,Madrid,Spain,FRA,Frankfurt,Germany,6,27B,FWL1975,Captain,2025-07-06,05:03:57,delayed
OG7095776,Stephanie,Johnson,AA286,2025-07-26,APL1009,Model-4,AA,LAX,Los Angeles,USA,MAD,Madrid,Spain,8,15E,FWL3304,First Officer,2025-07-26,13:54:07,deviated
NM0948934,Andrew,Walton,UA751,2025-07-08,APL1000,Model-0,UA,LAX,Los Angeles,USA,JFK,New York,USA,2,28D,FWL4361,Flight Attendant,2025-07-08,17:39:50,on time
PF9573532,David,Ayala,UA284,2025-06-20,APL1000,Model-0,UA,LAX,Los Angeles,USA,MAD,Madrid,Spain,1,4D,FWL8728,Flight Attendant,2025-06-20,12:30:55,departed
ZN0016740,Jay,Bell,DL529,2025-07-22,APL1007,Model-2,DL,JFK,New York,USA,CDG,Paris,France,9,13D,FWL7767,Flight Attendant,2025-07-22,06:08:59,departed
RF1954781,Ronnie,Rice,AF594,2025-08-11,APL1000,Model-0,AF,DXB,Dubai,UAE,CDG,Paris,France,2,18A,FWL6424,Captain,2025-08-11,01:12:26,on time
BK6164260,Tina,Allen,AA126,2025-06-24,APL1003,Model-3,AA,CDG,Paris,France,HND,Tokyo,Japan,5,20E,FWL7512,First Officer,2025-06-24,02:39:58,on time
QL7614680,Victor,Salinas,BA204,2025-07-07,APL1002,Model-2,BA,LHR,London,UK,JFK,New York,USA,7,21F,FWL7098,Flight Attendant,2025-07-07,05:27:30,arrived
BA8967482,Emily,Martin,UA885,2025-06-18,APL1009,Model-4,UA,FRA,Frankfurt,Germany,CDG,Paris,France,5,12A,FWL9743,Flight Attendant,2025-06-18,16:05:14,arrived
ER0072310,Pamela,Smith,AA286,2025-07-26,APL1009,Model-4,AA,LAX,Los Angeles,USA,MAD,Madrid,Spain,8,11E,FWL3304,First Officer,2025-07-26,13:54:07,deviated
VK8371975,Derek,Griffith,AA189,2025-06-19,APL1006,Model-1,AA,AMS,Amsterdam,Netherlands,DXB,Dubai,UAE,9,22C,FWL8506,Captain,2025-06-19,19:55:08,delayed
JV4662896,Katherine,Reynolds,UA569,2025-06-21,APL1001,Model-1,UA,MAD,Madrid,Spain,LHR,London,UK,2,4F,FWL2020,First Officer,2025-06-21,08:34:16,arrived
WI1908112,Jose,Cohen,AA979,2025-07-23,APL1000,Model-0,AA,FRA,Frankfurt,Germany,JFK,New York,USA,3,11C,FWL1579,Flight Attendant,2025-07-23,07:46:46,delayed
YZ4235988,Danny,Miles,AF594,2025-08-11,APL1000,Model-0,AF,DXB,Dubai,UAE,CDG,Paris,France,2,17C,FWL6424,Captain,2025-08-11,01:12:26,on time
FL0364141,Patricia,Lyons,AF789,2025-06-29,APL1000,Model-0,AF,CDG,Paris,France,FRA,Frankfurt,Germany,8,29B,FWL5625,First Officer,2025-06-29,17:29:58,departed
IZ9264523,Renee,Owen,DL342,2025-08-08,APL1004,Model-4,DL,HND,Tokyo,Japan,LAX,Los Angeles,USA,6,27F,FWL8417,First Officer,2025-08-08,18:18:12,deviated
XH6211764,Justin,Hampton,DL529,2025-07-22,APL1007,Model-2,DL,JFK,New York,USA,CDG,Paris,France,9,9E,FWL7767,Flight Attendant,2025-07-22,06:08:59,departed
OR7064927,John,Davis,AA793,2025-07-20,APL1004,Model-4,AA,HND,Tokyo,Japan,CDG,Paris,France,9,4D,FWL5093,Captain,2025-07-20,08:31:34,on time
AJ4980659,Mark,Tate,AA286,2025-07-26,APL1009,Model-4,AA,LAX,Los Angeles,USA,MAD,Madrid,Spain,8,26B,FWL3304,First Officer,2025-07-26,13:54:07,deviated
CI9757809,Samuel,Johnson,DL529,2025-07-22,APL1007,Model-2,DL,JFK,New York,USA,CDG,Paris,France,9,25D,FWL7767,Flight Attendant,2025-07-22,06:08:59,departed
